title,genres,rating,scored_by,members,weighted_avg,norm_weighted_avg,norm_members,score
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai  Kinyoubi no Ohayou,"['Romance', 'School']",7.03,1185,4932,6.94438834458836,0.5056727879698435,0.0027097132639464757,0.25419125061689496
Cyborg 009 TV,"['Action', 'Adventure', 'Mecha', 'SciFi', 'Shounen']",7.07,1316,4128,6.94682852491635,0.506213791571507,0.002155500731712193,0.25418464615160963
Brave Witches Petersburg Daisenryaku,"['Action', 'Military', 'SciFi', 'Magic', 'Ecchi']",7.0,1391,5173,6.943470240127578,0.5054692383328399,0.0028758391598027724,0.2541725387463213
Anime Sanjuushi,"['Adventure', 'Drama', 'Historical', 'Romance']",7.22,1002,2691,6.951145972635628,0.5071709973727874,0.0011649492282039032,0.2541679733004956
Pokemon Omega Ruby  Alpha Sapphire Mega Special Animation,"['Action', 'Adventure', 'Fantasy', 'Kids']",6.96,2856,5519,6.942336138966662,0.5052178008445247,0.003114343558003098,0.2541660722012639
Crayon Shinchan Movie 02 Buriburi Oukoku no Hihou,"['Action', 'Adventure', 'Comedy', 'Seinen']",7.11,1597,2876,6.950552311817222,0.5070393789685079,0.0012924732561433838,0.25416592611232564
Kaleido Star Good da yo Goood,['Comedy'],6.96,2651,5522,6.942204478232208,0.5051886108167547,0.0031164115152129274,0.2541525111659838
Baka to Test to Shoukanjuu Mini Anime,"['Comedy', 'School', 'SuperPower']",6.8,780,7495,6.936036633832291,0.5038211602244447,0.0044764380402107385,0.2541487991323277
Doraemon Movie 29 Shin Nobita no Uchuu Kaitakushi,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",7.4,800,1510,6.954642416857659,0.5079461814423563,0.00035086340660105716,0.25414852242447866
Nirvana,['Music'],7.04,1804,3950,6.947053151076149,0.5062635926292751,0.0020328019372623145,0.2541481972832687
Animation Seisaku Shinkou Kuromichan 2,"['Comedy', 'Parody', 'Drama']",7.0,2542,4326,6.945845405440424,0.5059958276893952,0.0022919859075609342,0.2541439067984781
Suite Precure Movie Torimodose Kokoro ga Tsunagu Kiseki no Melody,"['Kids', 'Fantasy', 'Magic', 'Shoujo']",7.1,1338,3465,6.948464624390652,0.5065765252998808,0.0016984821883398924,0.25413750374411037
"Haikarasan ga Tooru Movie 1 Benio, Hana no 17sai","['Comedy', 'Historical', 'Romance', 'Shoujo']",7.2,70,5808,6.941035631112665,0.5049294699269553,0.003313556769216665,0.25412151334808597
Kaitou Joker 4th Season,"['Adventure', 'Mystery', 'Comedy', 'Shounen']",7.4,683,2053,6.95260182828864,0.5074937698919928,0.0007251636615801813,0.2541094667767865
Seihou Bukyou Outlaw Star Specials,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'SciFi']",7.16,1144,2882,6.9499741579814,0.5069111985615489,0.0012966091705630429,0.25410390386605597
Kidou Senkan Nadesico The Prince of Darkness,"['Action', 'Comedy', 'Drama', 'Mecha', 'Psychological', 'SciFi', 'Shounen', 'Space']",6.86,6088,11073,6.924504631699732,0.5012644415194618,0.006942821672467287,0.25410363159596455
Buzzer Beater 2nd Season,"['Action', 'SciFi', 'Sports', 'Shounen']",6.94,2847,6000,6.940274744603312,0.5047607765163515,0.0034459060306457475,0.25410334127349865
Versailles no Bara to Onnatachi,"['Historical', 'Drama', 'Shoujo']",7.37,729,2049,6.952551412979691,0.5074825924952213,0.0007224063853004086,0.25410249944026086
Onegai My Melody Kuru Kuru Shuffle,"['Fantasy', 'Magic', 'Comedy']",7.34,712,2401,6.951438269365599,0.5072358014292149,0.0009650466979203934,0.25410042406356764
Elsword Elui Yeoin,"['Action', 'Fantasy']",6.4,1554,16204,6.908509297275491,0.4977181734694889,0.010479717820345529,0.2540989456449172
